"smiles","AR"
"CC(C)=CCC[N+]12CCC(CC1)[C@@H](OC(=O)[C@](C)(c1ccccc1)N1CCCCC1)C2","101"
"CC(C)C(=O)Nc1nc(-c2ccccn2)cc2ccccc12","61.66"
"CC(C)CCOc1ccc(N)cc1","150"
"CC(C)CNc1nc(N2CCN(CC3CCCOC3)CC2)ncc1C(=O)NCc1ccccc1","89.13"
"CC(C)COc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1","150"
"CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12","13.49"
"CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2)nc2nc(N)sc12","20.42"
"CC(C)C[C@H](CO)Nc1nc(S[C@@H](C)c2ccccc2F)nc2nc(N)sc12","30.9"
"CC(C)C[C@H](N)C(=O)NC[C@H](O)C[C@@H](N)CC(=O)NN(C)CC(=O)O","3"
"CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O","33.88"
"CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O","26.92"
"CC(C)N(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1","99"
"CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1","28.18"
"CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1","25.12"
"CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1","3"
"CC(C)Nc1nc(NCc2ccccc2)c2sccc2n1","144.54"
"CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1","54"
"CC(C)Oc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1","87.1"
"CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1","109.65"
"CC(C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1","20.89"
"CC(C)[C@H](C(=O)Nc1nccs1)c1ccc(Cl)cc1","12.02"
"CC(C)[C@H]1C(=O)N[C@H](CO)Cc2ccccc2N1C","144.54"
"CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O","23.44"
"CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1","16.6"
"CC(C)c1ccc(NC(=O)NCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1","109.65"
"CC(C)c1ccc(Sc2cnc(O)c(C(=O)NCc3ccccc3)c2)cc1","30.9"
"CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O","3"
"CC(C)c1nc2ccc(-c3ccc(F)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1","29.51"
"CC(C)c1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(OC3CN(C4CCS(=O)(=O)CC4)C3)n(C)c2n1","10"
"CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12","3"
"CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21","3"
"CC(CCc1cccc(OCc2ccc3ccccc3n2)c1)CC(=O)O","104.71"
"CC(NC(=O)c1cc(O)nc2ccccc12)c1ccccc1","5.25"
"CC(c1cc2ccccc2s1)N(O)C(N)=O","7.76"
"CC/C(=C(\c1ccccc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1","107.15"
"CC1(C)C(=O)Nc2ccccc21","3"
"CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1","9.77"
"CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O","3.39"
"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O","3"
"CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)N1CCN(c3ccc(C#N)cn3)CC1)C(=O)C2","150"
"CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)N1CCN(c3ccc(C(F)(F)F)cn3)CC1)C(=O)C2","141"
"CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O","3"
"CC1(COc2cc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)ccc2NC(=O)CN2CCOCC2)COC1","95.5"
"CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1","3"
"CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O","85"
"CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4","18.2"
"CC1CN(S(=O)(=O)c2ccccc2)CCN1Cc1cc(Cl)ccc1OCC(=O)O","7"
"CC1CNC(Nc2c(Cl)cccc2Cl)=N1","3"
"CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1","3"
"CC1Sc2c(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc3n21","3"
"CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1","56.23"
"CCC(=O)NC(c1cccs1)c1cc(Cl)c2cccnc2c1O","150"
"CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21","46.28"
"CCC(C)(C)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1","117.49"
"CCC(C)(CC)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Br)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1","69.18"
"CCC(C)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1","17.32"
"CCC(CC)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1","36.31"
"CCC(CC)NC(=O)c1c(C)nn(C(C)C)c1NS(=O)(=O)c1ccc(C)cc1","59.87"
"CCC(CC)NC(=O)c1cn(-c2ccccc2)nc1NS(=O)(=O)c1ccc(C)cc1","7"
"CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)C1CCCC1","5.29"
"CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1","52"
"CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1","47.91"
"CCC(CC)NC(=O)c1cnn(-c2ccccc2Cl)c1NS(=O)(=O)c1ccc(C)cc1","56"
"CCC(CC)NC(=O)c1cnn(-c2ccccn2)c1NS(=O)(=O)c1ccc(C)cc1","9.95"
"CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c1ccc(C)cc1","27"
"CCC(CC)NC(=O)c1cnn(Cc2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1","12"
"CCC(CC)NC(=O)c1nnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1","56"
"CCC(CC)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c1ccc(C)cc1","15"
"CCC(NC(=O)Nc1cc(Cl)ccc1Cl)(C(F)(F)F)C(F)(F)F","22.91"
"CCC1(C2=NCCN2)Cc2ccccc2O1","3"
"CCC1(CCC(C)C)C(=O)N=C(O)NC1=O","11.75"
"CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O","23.2"
"CCCC(=O)Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1","81"
"CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1","6.92"
"CCCC(C)(C)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1","52.48"
"CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C","3"
"CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O","8.71"
"CCCCCCCC(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O","3"
"CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O","3"
"CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O","3"
"CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H](C)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O","3"
"CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](C)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O","3"
"CCCCC[C@H](c1ccc(C(=O)O)c(Oc2cccc(Br)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1","30.2"
"CCCCN(CCNC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1","150"
"CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1","3"
"CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1","144.54"
"CCCCOc1nc(N)c2[nH]c(=O)n(Cc3cccc(CC(=O)O)c3)c2n1","3"
"CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1","11"
"CCCCn1c(SCC(=O)Nc2cc(C)on2)nnc1-c1ccco1","150"
"CCCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1","107"
"CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C","15.49"
"CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1","38.02"
"CCCS(=O)(=O)N1N=Cc2cc(Cl)ccc2B1O","3"
"CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F","6.61"
"CCCSc1c(C(=O)NC2CCCCC2)cnn1-c1cccc(C(=O)O)c1","16.98"
"CCC[C@@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)CCCc1ccc(OC)cc1","23.99"
"CCC[C@H](CO)Nc1nc(S[C@@H](C)c2cccc(C#N)c2)nc2[nH]c(=O)sc12","22.39"
"CCC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1","10"
"CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1","3.98"
"CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(F)c2)CC1","5.79"
"CCN(C(=O)c1ccc(-c2ccc(Cl)cc2)o1)c1ccc(N2CCNCC2)cc1","3"
"CCN(CC)CCN1C(=O)C(O)(c2ccccc2Cl)c2c1cc(C(N)=O)cc2C(F)(F)F","15.14"
"CCN(CC)CCNc1ncnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3","26.3"
"CCN(CC)CCn1c2ccccc2c2cnc(N)c(C#N)c21","77"
"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O","32.36"
"CCN(CC)S(=O)(=O)c1ccc(-c2nnc(SCC(=O)N3CCc4ccccc43)o2)cc1","150"
"CCN(CC)c1ccc2cc(C(C)=O)c(=O)oc2c1","150"
"CCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1","135"
"CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O","3"
"CCNC(=O)C[C@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21","6.31"
"CCNC(=O)c1ccc(C)c(-n2cnc3ccc(N4CCN(C)CC4)cc3c2=O)c1","3"
"CCNC(=O)c1cnc(N2CCN(C3CCN(Cc4ccc(Cl)cc4F)CC3)[C@@H](CC)C2)c(Cl)c1","38"
"CCO/N=C/c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1","26"
"CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1","75"
"CCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(-c2ccccc2)cc1","117.49"
"CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c1ccc(Cl)cc1","150"
"CCOC(=O)c1c(-c2ccccc2)nc2cc(C)ccn12","147.91"
"CCOC(=O)c1c(-c2ccccc2)nc2ccc(C)cn12","125.89"
"CCOC(=O)c1c(C)n(Cc2ccco2)c2ccc(O)cc12","150"
"CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1","150"
"CCOC(=O)c1cnc2c(N)cccc2c1O","150"
"CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1","51.29"
"CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O","29.51"
"CCOc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c2ccc(F)cn2)n[nH]1","30.2"
"CCOc1cc2ncc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1N1CCN(C)CC1","12"
"CCOc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc43)cc2)cn1","6.92"
"CCOc1ccc(-n2c([C@@H](C)N(CC3CCN(C)CC3)C(=O)Cc3ccc(F)c(C(F)(F)F)c3)nc3ncccc3c2=O)cc1","19.95"
"CCOc1ccc(-n2c([C@@H](C)N(Cc3cccnc3)C(=O)Cc3ccc(C(F)(F)F)cc3)nc3ccccc3c2=O)cc1","43.36"
"CCOc1ccc(-n2c([C@@H](C)N(Cc3cccnc3)C(=O)Cc3ccc(OC(F)(F)F)cc3)nc3ncccc3c2=O)cc1","20"
"CCOc1ccc(CCNCCCSCCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1","8"
"CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1","4.17"
"CCOc1ccc(NC(C)=O)cc1","26.92"
"CCOc1ccc2nc3ccc(=O)cc-3oc2c1","150"
"CCOc1ccc2oc(C(=O)NC(CCSC)c3nc4ccccc4[nH]3)c(C)c2c1","27"
"CCOc1ccc2oc(C(=O)NC(CCSC)c3nc4cnccc4[nH]3)c(C)c2c1","21"
"CCOc1ccc2oc(C(=O)NC(CCSC)c3nc4ncccc4[nH]3)c(C)c2c1","46"
"CCOc1nc2ccc(OCCC3CCN(c4ccc(C)nn4)CC3)cc2o1","4"
"CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1","3"
"CCS(=O)(=O)CCCC12CCC(c3nnc(-c4ccccc4C(F)(F)F)n3C)(CC1)CC2","3"
"CCS(=O)(=O)Nc1cccc2c1c(Oc1ccc(Cl)cc1)c(C)n2CC(=O)O","3"
"CCS(=O)(=O)c1ccc(Oc2c(C)n(CC(=O)O)c3ccc(C(F)(F)F)cc23)cc1","3"
"CCS(=O)(=O)c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3)nc2c1","24.55"
"CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccc(C)o1","75.93"
"CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccccc1","65"
"CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1","3.24"
"CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1","107.15"
"CC[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12","5.16"
"CC[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12","10"
"CC[C@H](N)C(=O)N[C@H](C#N)Cc1ccc(-c2ccccc2)cc1","91"
"CC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1","4"
"CCc1[nH]c2nc(Sc3cnc4ccc[n+]([O-])c4c3)nc(N3CC[C@@H](N)C3)c2c1Cl","112.2"
"CCc1[nH]c2nc(Sc3cnc4ccc[n+]([O-])c4c3)nc(N3C[C@H]4[C@H](N)[C@H]4C3)c2c1Cl","58.88"
"CCc1c(C(=O)C(N)=O)c2c(OCC(=O)OC)cccc2n1Cc1ccccc1","50.12"
"CCc1c(C)nc(SCC(=O)Nc2nc(-c3ccc(OC)cc3)cs2)nc1O","66.07"
"CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC","23.99"
"CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC","3"
"CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O","5.01"
"CCc1cccc2c1N(C)Cc1cc3c(cc1-2)OCO3","150"
"CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3","12.88"
"CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12","150"
"CCc1nc2ccc(C(=O)NCc3ccc4c(c3)OCO4)cn2c1N(C)Cc1cccs1","150"
"CCn1c(C)c(C(=O)O)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN6CCC(O)CC6)CSc6ccccc6)c(S(=O)(=O)C(F)(F)F)c5)cc4)CC3)c2)c1-c1ccc(Cl)cc1","17.38"
"CCn1c(SCC(=O)Nc2cc(C)on2)nnc1-c1ccccc1","150"
"CCn1c(SCC(=O)Nc2cc(C)on2)nnc1-c1cccnc1","75.86"
"CCn1c(SCC(=O)Nc2cccc(C)c2)nnc1-c1ccccc1","150"
"CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21","3.46"
"CCn1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c1ccc(C)cc1","5.5"
"CN(C)C(C)(C(=O)OC1CC[N+](C)(C)CC1)c1ccccc1","16"
"CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1","23"
"CN(C)CCNc1cc(-c2ccc(N3CCN(C)CC3)cc2)nc2ccccc12","3"
"CN(C)CCNc1cc(-c2ccccc2)nc2cc(-c3ccc(F)cc3)nn12","23.99"
"CN(C)CCOc1cc(NS(=O)(=O)c2c(Cl)cc(C(F)(F)F)cc2Cl)ccc1Cl","12.88"
"CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]","9.55"
"CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)C1","8.91"
"CN(C)c1nc(NC[C@H]2CC[C@H](CNS(=O)(=O)c3ccc(Br)cc3OC(F)(F)F)CC2)nc2ccccc12","50.12"
"CN(CC(=O)N(Cc1ccc(C2CCCCC2)cc1)c1ccc(C(=O)O)c(O)c1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F","74.13"
"CN(CC(=O)O)NC(=O)C[C@H](N)C[C@@H](O)CN","3"
"CN(CCCOCCOCCc1ccccc1)CCc1ccc(O)c2nc(O)sc12","150"
"CN(CCNCCc1ccc(O)c2nc(O)sc12)C(=O)CCOCCc1ccccc1","140"
"CN(CCNC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1","43"
"CN(CCc1ccc(O)c2nc(O)sc12)CCN(C)C(=O)CCOCCc1ccccc1","150"
"CN(c1ccnc(Nc2cc(N3CCOCC3)cc(N3CCOCC3)c2)n1)c1cccc2[nH]ncc12","51.29"
"CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21","6.17"
"CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21","5.01"
"CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1","11"
"CN1CCC[C@H]1CCN1CCCc2cc(NC(=N)c3cccs3)ccc21","40.74"
"CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1","6.76"
"CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1","13.49"
"CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3)cc2)CC1","14.45"
"CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1","3"
"CNC(=O)Cc1ccc2c(=O)cc(-c3cccnc3)[nH]c2c1","3"
"CNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1","3"
