,smiles,actual,predicted
106,C1CCCNCC1,2.384,2.3617315
107,C1CCN2CC3CC(CN4CCCCC34)C2C1,2.388,2.1226158
108,C1CCc2nnnn2CC1,2.994,2.8784182
109,C1CCNCC1,2.328,2.3617315
110,C1CCOC1,1.408,1.6951096
111,c1ccc(N2CCNCC2)cc1,2.888,2.325398
112,c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,3.599,2.5335617
113,c1ccc(N2CCOCC2)cc1,2.244,2.3177638
114,c1ccc2sc(SN3CCOCC3)nc2c1,2.105,2.1082647
115,c1cncc(C2=NCCC2)c1,1.892,2.2942255
116,C1CN1,3.458,2.1307235
117,C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.31,4.3160124
118,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,3.119,3.0161057
119,C1CNCCN1,1.656,2.167316
120,C1CNCCNC1,1.549,2.1978428
121,C1CO1,2.787,1.9218711
122,C1COC(OCC2CO2)C(OCC2CO2)O1,2.337,1.9663585
123,C1COCCN1,1.919,2.0530546
124,C1COCCOCCOCCO1,1.794,1.9972048
125,C1COCCOCCOCCOCCO1,2.194,1.9972048
126,C1COCCOCCOCCOCCOCCO1,2.279,1.9972038
127,C1COCO1,1.393,1.9767572
128,C1CS1,2.529,2.090365
129,C1CSCCO1,1.566,2.098782
130,c1cc2c(cc1C1CO1)O2,1.676,2.2208483
131,c1ccc(C2CO2)cc1,1.779,2.0090427
132,C1OC1C1CO1,3.043,1.9646437
133,c1cc(CC2CO2)cc(CC2CO2)c1,1.657,2.434942
134,c1ccc(N(CC2CO2)CC2CO2)cc1,2.103,2.2113512
135,c1cc(CC2CO2)c(OCC2CO2)c(CC2CO2)c1,2.209,2.1858482
136,c1cc(OCC2CO2)cc(OCC2CO2)c1,1.937,1.8474218
137,c1ccc2c(c1)OCO2,2.323,2.2469616
138,CBr,2.647,2.2120297
139,CC#N,1.177,2.2614727
140,C=C(C)C#N,2.747,2.662762
141,C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.107,2.1517994
142,C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,1.536,1.5267746
143,C=CCOC(=O)C(=C)C,2.467,2.0405169
144,C=C(C)C(=O)OCC1CO1,2.377,1.7881565
145,C=C(C)C(=O)OCCCl,2.871,2.5347896
146,C=C(C)C(C)=O,2.67,1.8097936
147,C=C(C)C(OC(C)=O)OC(C)=O,2.593,2.6135705
148,C=C(C)c1ccccc1,1.382,1.6807554
149,C=C(C)C1CC=C(C)C(=O)C1,4.607,3.5374594
150,C=C(C)C1CC=C(C)C(O)C1,1.705,2.258326
151,C=C(C)C1CC=C(C)CC1,1.491,1.6899734
152,C=C(C)C1CC=C(CO)CC1,1.86,1.9618913
153,C=C(C)CC#N,2.177,2.6612399
154,C=C(C)OC(C)=O,1.523,1.7861736
155,CC(=CC(=O)O)C(=O)O,1.994,1.9002519
156,CC(=N)NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,5.006,2.4651215
157,CC(=O)C(C)(C)C,2.215,1.6359155
158,CC(=O)C(C)=O,1.736,1.6387006
159,C=CC(C)=O,3.369,2.3343034
160,CC(=O)C=CC1=C(C)CCCC1(C)C,1.622,1.6237024
161,CC(=O)C=CC1C(C)=CCCC1(C)C,1.622,1.9092417
162,CC(=O)C=O,1.791,1.7966765
163,CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O,3.971,3.4421575
164,CC(=O)c1cccc2ccccc12,2.038,1.9366143
165,CC(=O)c1ccc(C)cc1,1.982,1.9848757
166,CC(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,2.465,2.1120007
167,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.812,2.048235
168,CC(=O)c1ccc(N)cc1,2.55,2.4778187
169,CC(=O)c1ccc(O)cc1O,1.73,1.7084588
170,CC(=O)c1cccc([N+](=O)[O-])c1,1.706,1.8986691
171,CC(=O)c1cccc(N)c1,1.859,1.7957635
172,CC(=O)c1ccccc1,2.169,1.6504506
173,CC(=O)c1ccccc1Cl,1.929,2.122441
174,CC(=O)c1ccccc1[N+](=O)[O-],2.014,2.0716062
175,CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2,1.57,2.3077245
176,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,3.022,3.0926414
177,CC(=O)C1C(=O)C=C(C)OC1=O,2.527,2.6407328
178,CC(=O)C1OC1(C)C,1.851,2.228618
179,CC(=O)CC(=O)Nc1ccccc1,1.581,1.9396801
180,C=CC(=O)NC(C)(C)CC(C)=O,1.927,1.9969916
181,CC(=O)CC(C)(C)O,1.463,1.5249529
182,CC(=O)CC(C)=O,3.26,1.9273016
183,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,2.838,3.4464417
184,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,3.263,3.109549
185,CC(=O)CCC(C)=O,1.74,1.7631798
186,CC(=O)CCC(=O)O,1.798,1.5492654
187,CC(=O)CCc1ccc(O)cc1,2.095,1.9035872
188,CC(=O)CCc1ccc(OC(C)=O)cc1,1.832,1.6932338
189,CC(=O)CCc1ccccc1,1.666,1.7851089
190,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.651,2.6490812
191,CC(=O)CCl,2.966,2.3155534
192,CC(=O)CNC(C)(C)Cc1ccc(Cl)cc1,2.982,2.343428
193,CC(=O)CO,1.527,1.4147356
194,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3.505,2.8338685
195,CC(=O)N1CCOCC1,1.324,1.7112788
196,CC(=O)NC(=O)C(Cl)(Cl)Cl,1.819,2.500554
197,CC(=O)NC(=O)c1ccccc1O,1.952,2.2306397
198,CC(=O)NC(CS)C(=O)O,1.509,1.8712566
199,CC(=O)NC(N)=S,3.373,2.5320258
200,CC(=O)Nc1ccc(C)c(NS(=O)(=O)C(F)(F)F)c1,2.06,2.1812284
201,CC(=O)Nc1ccc(C(=O)CCl)cc1,1.993,2.133096
202,CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,2.142,2.0425339
203,CC(=O)Nc1ccc(O)cc1,1.799,2.0785942
204,CC(=O)Nc1ccccc1,2.228,1.8332788
205,CC(=O)Nc1ccncc1,2.485,2.0897071
206,CC(=O)NNC(=O)c1ccccn1,2.425,2.4289865
207,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,2.029,1.7777152
208,C=C(C#N)OC(C)=O,3.046,2.2443206
209,C=CC(=C)CCCC(C)(C)OC(C)=O,1.494,1.4525093
210,CC(=O)OC(C)=O,1.759,1.4693588
211,CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl,1.595,1.8246182
212,C=C(Cl)C(OC(C)=O)OC(C)=O,2.779,2.8012958
213,CC(=O)OC(OC(C)=O)C(Cl)CCl,2.855,2.8324888
214,C=CC(OC(C)=O)OC(C)=O,3.655,2.1304772
215,C=COC(C)=O,1.47,1.6420453
216,C=CC=COC(C)=O,2.198,2.3531513
217,CC(=O)Oc1c(Br)cc(Cl)cc1C(=S)Nc1ccc(Br)cc1,2.189,3.048416
218,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],3.848,3.054222
219,CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(C)(C)C,3.658,3.692279
220,CC(=O)Oc1ccccc1C(N)=O,1.998,2.04272
221,CC(=O)Oc1ccccc1C=CC(=O)O,1.816,1.8224462
222,CC(=O)Oc1ccc(C)cc1,1.898,1.859539
223,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,2.948,2.977613
224,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)Oc3ccccc3NC2=O)cc1,1.717,2.3253114
225,CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,2.15,2.7601566
226,CC(=O)Oc1ccccc1,1.922,1.9957993
227,CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,4.947,4.3490267
228,CC(=O)OC1CCC(C(C)(C)C)CC1,1.598,1.4838637
229,CC(=O)OC1CCCCC1,1.325,1.4027988
230,CC(=O)OCC#N,3.491,2.1800199
231,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,4.548,3.6312752
232,CC(=O)OCC(COC(C)=O)OC(C)=O,1.862,1.8168918
233,C=CCOC(C)=O,2.887,1.8763278
234,CC(=O)OCC=C(C)C,1.631,1.7637105
235,C=CCOC=CCOC(C)=O,1.622,2.1165266
236,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,1.413,1.7682116
237,CC(=O)OCc1ccc2c(c1)OCO2,1.966,1.8406091
238,CC(=O)OCc1ccccc1,1.78,1.7977446
239,CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O,1.491,2.2052221
240,CC(=O)OCCc1ccccc1,1.651,1.3637061
241,CC(=O)OCCC1=CCC2CC1C2(C)C,1.842,1.2594336
242,CC(=O)OCCC1CCCCC1,1.726,1.5669256
243,CC(=O)OCCN(CCOC(C)=O)N=O,1.64,2.5465074
244,CC(=O)OCCO,1.101,1.2629489
245,CC(=O)OCCOC(C)=O,1.329,1.4427936
246,CC(=O)OCCOCCOCCOC(C)=O,1.016,1.3126836
247,CC(=O)OCCS(=O)(=O)CCOC(C)=O,1.231,1.7598042
248,CC(=O)OCCSCCOC(C)=O,1.401,2.353791
249,CC(=O)OO,1.694,1.7802722
250,CC(=S)Nc1ccccc1,1.759,2.5384002
251,CC(Br)(CCl)CBr,2.506,2.0654895
252,CC(Br)CBr,2.276,2.3701038
253,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,2.121,2.349067
254,CC(C#N)N1CCOCC1,3.207,2.3643947
255,CC(C(c1ccc(Cl)cc1)c1ccc(Cl)cc1)[N+](=O)[O-],2.617,2.3496516
256,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.61,2.6259246
257,CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,2.856,2.964254
258,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.443,3.23236
259,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,3.567,2.9294965
260,CC(C(=O)O)c1ccc(-c2cn3ccccc3n2)cc1,2.96,2.5468261
261,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,3.525,2.9333963
262,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,3.158,2.1937594
263,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,3.568,2.4752853
264,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,3.408,2.9747498
265,CC(C)(C#N)C(C)(C)C#N,3.544,2.1212778
266,CC(C)(C(=O)c1cccnc1)c1cccnc1,2.638,2.244929
267,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,2.459,2.7906122
268,CC(C)(C)C(=O)O,2.055,1.845142
269,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,2.633,2.2346776
270,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,3.002,3.0445225
271,CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.588,3.7964087
272,CC(C)(C)c1ccc(O)c(O)c1,1.77,2.287033
273,CC(C)(C)c1ccc(C(=O)O)cc1,2.406,2.3759692
274,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1.975,2.3046868
275,CC(C)(C)c1ccc(O)cc1,1.707,1.9897581
276,CC(C)(C)c1ccc(C(=O)OCC(Cl)(Cl)Cl)o1,1.874,2.0129745
277,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,2.374,2.4881356
278,CC(C)(C)c1ccc(OCC(O)COc2ccc(C(=O)O)cc2)cc1,2.157,1.9639271
279,CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,2.774,2.3434553
280,CC(C)(C)C1CCC(=O)CC1,1.489,1.6265852
281,CC(C)(C)CC1(C)CO1,1.416,1.5979581
282,CC(C)(C)N,2.972,2.2355804
283,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,2.559,2.4635165
284,CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,2.362,2.111441
285,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,1.766,1.941428
286,CC(C)(C)O,1.326,1.9424425
287,CC(C)(C)OOC(=O)c1ccccc1,2.283,1.9556339
288,CC(C)(C)S,1.28,1.5440401
289,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.847,1.948856
290,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.491,1.7104518
291,CC(C)(CO)C(O)C#N,2.62,1.8616632
292,C=CC(=O)OCC(C)(C)COC(=O)C=C,1.499,1.9809027
293,CC(C)(COC(N)=O)COC(N)=O,1.88,2.0711544
294,CC1(N)CCC(C(C)(C)N)CC1,2.384,2.1335692
295,CC(C)(N)Cc1ccc(Cl)cc1,2.866,2.5407133
296,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,1.659,1.8778081
297,C#CC(C)(C)O,1.635,2.1437879
298,C=CC#CC(C)(C)O,2.264,2.1628535
299,CC(C)(O)c1ccccc1,2.02,2.1142023
300,CC(C)(O)CC(C)(O)c1ccc(Cl)cc1,2.302,2.3906164
301,CC(C)(O)Cc1ccccc1,2.07,1.8818033
302,C=CC(=C)CCCC(C)(C)O,1.464,1.8539852
303,CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O,2.538,2.9986274
304,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,1.946,2.1673298
305,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,2.379,2.046093
306,CC(C)(OO)c1ccccc1,2.6,1.9223012
307,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,1.819,1.7055489
308,CC(C)(S)C(N)C(=O)O,1.384,2.3105788
309,CC(C)=CC(C)=NNc1nncc2ccccc12,2.588,2.5962222
310,CC(=O)C=C(C)C,1.943,1.9515933
311,CC(C)=CC(=O)O,1.449,1.5341725
312,CC(C)=CC1C(=O)OC(=O)C1(C=C(C)C)C=C(C)C,2.446,2.2932863
313,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.546,2.4980083
314,C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,3.101,2.7155647
315,CC(C)=CCC(CCN1CCOCC1)(C(N)=O)c1cccc2ccccc12,3.316,3.0284524
316,CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,2.378,2.175646
317,C=CC(C)(O)CCC=C(C)C,1.743,1.7615348
318,CC(C)=CCCC(C)=CC=O,1.487,1.4768041
319,CC(C)=CCCC(C)=CCCC(C)=CCO,1.569,1.8781074
320,CC(C)=CCCC(C)=CCO,1.535,1.775967
321,CC(C)=CCN(CC=C(C)C)CCC(C(N)=O)c1cccc2ccccc12,3.014,2.6684344
322,CC(C)=CCO,2.027,1.4680241
323,CC(C)=CCOC(=O)c1ccccc1O,1.809,2.0684211
324,CC(C)=CCOC(=O)c1ccccc1,1.607,1.9722953
325,CC(C)=O,1.001,1.7427303
326,CC(C)C#N,3.141,2.6683583
327,CC(C)C(=O)N(C)C(=O)Oc1cccc(C(C)C)c1,2.62,2.8463783
328,Cc1ccc(OC(=O)C(C)C)cc1,1.649,2.1635401
329,CC(C)C(=O)OCc1ccccc1,1.796,2.4358306
330,CC(C)C(Br)C(=O)NC(N)=O,2.348,2.0480301
331,CC(C)C(Br)C(=O)OCC(Br)(Br)Br,1.95,1.9046953
332,CC(C)C(Br)C(=O)OCC(Cl)(Cl)Cl,2.319,2.136702
333,CC(C)C(Br)C(=O)O,2.372,2.1158175
334,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1,3.777,3.0665915
335,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,3.829,3.1460183
336,CC(=O)C(C)C,2.765,1.7742182
337,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,3.85,4.2294455
338,CC(C)C(=O)O,2.498,1.7027953
339,CC(C)C1(C)N=C(c2nc3ccccc3cc2C(=O)O)NC1=O,1.794,2.635511
340,CC1=CCC(O)(C(C)C)CC1,2.074,2.114799
341,CC1=C(C(C)C)CC=CC1,1.504,1.5276041
342,CC(C)c1s[nH]c2nc(C(C)(C)C)nc(=O)c1-2,1.392,2.1357067
343,Cc1ccc(C(C)C)cc1O,2.268,2.1512082
344,CC(C)c1cccc(OC(=O)N(C)N=O)c1,2.745,2.697536
345,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,2.522,2.5223355
346,Cc1ccc(C(C)C)cc1,1.451,1.952756
347,Cc1ccc(C(C)C)c(O)c1,2.185,1.8730768
348,CC(C)c1ccc(C#N)cc1,1.571,1.9249511
349,CC(C)c1ccc(C=O)cc1,2.028,1.8943226
350,CC(C)c1ccc(CC=O)cc1,1.597,2.0216944
351,CC(C)c1ccc(CCO)cc1,1.96,1.6086806
352,CC(C)c1ccc(CO)cc1,2.168,2.1387296
353,CC(C)c1ccc(NC(=O)N(C)C)cc1,2.053,2.1092203
354,CC(C)c1cccc(C(C)C)c1N,1.743,1.9231299
355,CC(C)c1cccc(OC(=O)N(C)C)c1,3.112,2.8795524
356,CC(C)c1ccccc1,1.934,1.7532374
357,CC(C)c1ccccc1N,2.059,2.0194917
358,CC1=CCC(C(C)C)=CC1,1.572,1.3668704
359,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C,2.066,2.0711098
360,CC1=CC(=O)C(C(C)C)CC1,1.793,1.9834775
361,CC1CCC(C(C)C)C(=O)C1,2.489,1.9319838
362,CC1CCC(C(C)C)C(O)C1,1.691,1.8157386
363,CC(C)C1CCC(O)CC1,1.714,1.5457395
364,CC(C)CC(=O)CC(C)C,1.393,1.8939945
365,CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,5.238,4.7521014
366,C=CCOC(=O)CC(C)C,2.791,2.4546547
367,CC(=O)CC(C)C,1.683,1.5887436
368,CC(C)CC(C)CC(CC(C)C)OCCO,1.633,1.7807914
369,CC(C)CC(C)CC(O)CC(C)C,1.04,1.5447868
370,C=COCC(C)CCCC(C)CC(C)C,2.241,1.9639882
371,CC(C)CC(C)O,1.596,1.5606277
372,CC(C)CC(C)OC(=O)C=CC(=O)OC(C)CC(C)C,1.588,1.5600938
373,CC(=O)OC(C)CC(C)C,1.369,1.4515742
374,CC(C)CC(CC(C)C)OCCOCCO,1.428,1.5276091
375,CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=O)CCCNC(=N)N,2.773,2.2603137
376,CC(C)CC(=O)O,1.708,1.8379369
377,CC(C)CC(O)CC(C)C,1.659,1.1522737
378,CC(C)CC(O)CC(CC(C)C)CC(C)C,1.155,1.6692529
379,CC(C)CC=O,1.187,1.6517893
380,CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1,2.315,2.2091463
381,CC(C)Cc1ccc(C(C)C(=O)O)cc1,2.511,2.3159263
382,CC(=O)CCC(C)C,1.552,1.6973405
383,CC(C)CCC(=O)O,1.753,1.6951332
384,CC(C)CCC=O,1.248,1.5165769
385,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,3.962,4.2046065
386,C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.751,2.452456
387,Cc1c(C)c2c(c(C)c1OC(=O)C(C)(C)Oc1ccc(Cl)cc1)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,1.621,2.119783
388,CC(C)CCCC(C)N,2.381,1.9748594
389,CC(C)CCCCCCO,1.685,1.5349888
390,CC(C)CCCCCN(CCCCCC(C)C)CCCCCC(C)C,2.339,2.238251
391,CC(C)CCCO,1.196,1.5660375
392,CC(C)CCO,1.831,1.6648576
393,CC(C)CCOC(=O)c1ccccc1,1.482,1.9130955
394,CC(=O)OCCC(C)C,0.894,1.4816036
395,CC(C)CCOC(CO)CC(C)C,1.542,1.9532672
396,CC(C)CCOC=O,1.072,1.5039227
397,CC(C)CCON=O,2.365,2.1361413
398,CC(C)CCP(CCC(C)C)CCC(C)C,2.039,2.106315
399,CC(C)CN,2.506,2.1095438
400,CC(C)Cn1nc(-c2ccccc2)c(-c2ccccc2)c1CC(=O)O,3.862,2.4173012
401,CC(C)CNCC(C)C,2.7,1.8568826
402,CC(C)CO,1.479,1.3733279
403,C=CC(=O)OCC(C)C,1.258,1.9105201
404,CC(C)COC(=O)C=CC(=O)OCC(C)C,1.449,1.3730841
