,smiles,actual,predicted
24,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,1.2,1.5225459
25,O=C(CCCc1ccncc1)N1CCN(c2ccc(Cl)cc2Cl)CC1,3.93,3.149664
26,COc1cnc(-c2ccccn2)nc1N(C)C,1.9,2.9306967
27,c1ccc(-c2cc(NCCCCCCCCNc3cc(-c4ccccc4)nc4ccccc34)c3ccccc3n2)cc1,2.27,2.5974665
28,CSc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,1.2,1.1261742
29,CNC1=Nc2ncccc2C(c2ncco2)=NC1c1cccs1,1.14,2.4022365
30,CS(=O)(=O)C1(c2cc(N3CC4CCC(C3)O4)nc(-c3cccc4[nH]ccc34)n2)CC1,2.6,1.9247189
31,CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C[C@@H]1F,3.3,3.0995302
32,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.94,2.604786
33,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1,2.34,2.9841805
34,N#Cc1ccccc1Oc1ccc(C(=O)NCc2ccncc2)cc1,2.57,2.8016233
35,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,3.62,3.3793154
36,Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,2.06,2.3170142
37,Cn1cncc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,4.33,3.3746467
38,COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1,2.55,2.147489
39,CNC(=O)C1(N2CCCCC2=O)CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(C#N)cc3ccccc23)c2ccc(Cl)c(Cl)c2)CC1,2.78,3.0679717
40,O=C1Nc2ccccc2B(O)N1c1ccccc1,1.4,2.6673455
41,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,-0.54,0.45736876
42,N#CN=C(N)c1sc(Nc2ccccc2)nc1N,2.91,2.6213999
43,CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2O[C@H](C)C(=O)O)c(C)c1,-0.4,1.1307715
44,N#Cc1ccc(F)c(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,-0.16,0.40961453
45,COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1,2.2,2.1462743
46,CC(Nc1ncnc2ccccc12)c1ccccc1,3.4,2.8771415
47,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,1.1,1.5334429
48,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCOCCc3cccc4ccccc34)c2s1,2.28,1.0594226
49,COc1ccccc1Cn1c(C)nc2ccccc21,3.47,2.9336572
50,O=C(O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc3ccccc3F)c2)nc1,3.0,2.8659754
51,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.17,-0.95089424
52,O=C(O)CCC[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(F)ccc2[nH]1,1.95,2.643367
53,CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)O)c3)cnc2[nH]1,-0.99,-0.33280528
54,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,2.0,1.401243
55,c1ccc(Nc2cc(Nc3ccccc3)[nH]n2)cc1,3.8,3.308393
56,COCCNC(=O)c1cccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)c1,3.21,2.7630234
57,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c1ccc(C)cc1,0.36,0.63022625
58,NC(=O)c1cc(F)cc(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,2.14,1.8481332
59,N#Cc1c(-c2ccccc2)nc(SCCc2ccccc2)[nH]c1=O,1.71,2.4597974
60,O=C(OC1CN2CCC1CC2)C(O)(c1ccccc1)c1ccccc1,1.19,1.7451042
61,Cc1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)s1,2.7,2.52328
62,Cc1ncc(-c2nc(Nc3ccc(C(=O)N(C)C)cc3)ncc2F)n1C(C)C,2.77,2.10319
63,COc1cccc(-c2c[nH]c(-c3ccccc3)n2)c1,3.8,3.0919785
64,O=C(COc1ccccc1)c1ccccc1,2.87,2.938314
65,COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,1.91,2.6455479
66,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC(C)C)cc1C21N=C(C)C(N)=N1,3.4,2.730105
67,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCCC1,3.13,3.3758204
68,O=C1CCOc2cc(COc3ccccc3)ccc21,3.0,2.6654062
69,Clc1cccc2cn[nH]c12,2.33,2.238387
70,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)cc1,2.8,2.9077997
71,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1,-0.54,0.0016916692
72,C#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.16,3.4290266
73,C[C@H](NC(=O)c1cccnc1Oc1ccccc1)c1ccccc1,2.91,2.1244493
74,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,1.55,2.0816336
75,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.2,-0.35238683
76,Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1,1.43,2.3944073
77,C[C@H](Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ncc(F)cn1,2.47,2.157054
78,CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCCO,2.48,2.2466044
79,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-0.45,-0.2783804
80,CC1(c2nc(N3CCOCC3)ncc2C(=O)N[C@H]2C3CC4CC2C[C@](O)(C4)C3)CC1,2.0,2.4561148
81,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3c(c2)c(=O)sn3C)c1,2.6,2.4410698
82,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,3.5,3.1394026
83,CNCCCC12CCC(c3ccccc31)c1ccccc12,0.89,0.5674676
84,Oc1cc(-c2ccccc2)nc2ccnn12,1.3,2.0300453
85,O=CN1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,2.01,2.3921576
86,C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.59,3.38286
87,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1,0.18,1.5298208
88,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,2.6,2.527583
89,Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)c(F)c2)nc1C(N)=O,1.3,1.4869002
90,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,2.1,2.2478843
91,Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1,3.72,3.208447
92,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,1.72,1.9346104
93,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21,1.65,2.915194
94,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,3.7,2.867361
95,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,2.2,2.5649576
96,C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,2.04,2.4269676
97,CCSc1c(Cc2ccccc2C(F)(F)F)sc2c1c(=O)n(C)c(=O)n2CC(C)C,4.49,4.051548
98,COc1ccc(Cc2c(N)n[nH]c2N)cc1,0.2,0.48625633
99,CCN(CCN(C)C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1,2.0,2.488773
100,Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C2)c(=O)[nH]c1=O,1.49,1.373658
101,c1ccc(N2CC3COc4ccccc4C3=N2)cc1,4.28,2.6245813
102,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-0.95,1.5651526
103,CC(C)CC(c1ccncc1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O,1.64,1.7004433
104,FC(F)c1nc2ccccc2[nH]1,2.02,2.2614007
105,N#Cc1cccc(OC[C@@H](O)CNC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)c1,3.09,2.6643214
106,COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,2.18,2.5510595
107,O=C(Oc1ccccc1O)c1cccc2ccccc12,4.4,3.265325
108,COc1ccccc1CNc1cc(C)ccn1,3.28,2.8015208
109,Nc1nc(Nc2cccc(Br)c2)c2nc[nH]c2n1,3.04,2.0938432
110,Nc1c2c(nc3ccc(Br)cc13)N(c1ccccc1)CC2,3.12,2.4188652
111,COc1cc(OC)c(S(=O)(=O)N(c2ccc(C)cc2)c2ccc(C)cc2)cc1NC(=O)CCC(=O)O,0.06,0.04661581
112,O=C(c1ccc(F)cc1)C(O)c1ccc(F)cc1,2.49,2.4292865
113,CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1,1.11,1.4902548
114,Cc1ccc(NC(=O)c2cccc(OCC(C)C)c2)cc1C(=O)Nc1cccnc1,2.81,2.9569287
115,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc2ccccc2)c1,3.52,2.9858258
116,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,2.5,2.8404303
117,CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,4.48,3.3921824
118,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1,1.33,1.1287879
119,O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,1.83,1.813429
120,COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3F)c2cc1OC,3.6,3.3901925
121,CN(C(=O)C1CCC1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,3.2,3.166894
122,N=C(N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N,-0.56,0.037205726
123,N#Cc1nc(NC2CC3CCC2C3)c(N)c(N2CCOCC2)n1,3.53,2.4953222
124,CCN(C(=O)NCc1c(F)cccc1F)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,4.3,3.0518754
125,NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,2.88,2.8032608
126,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,3.08,2.9980588
127,Cc1ncc(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)nc1C(N)=O,1.0,1.2572974
128,Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C,2.4,2.559848
129,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1.89,2.237658
130,Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)cc4Cl)CC3)CC2)cc1,1.52,2.1509707
131,O=c1ccoc2cc(OCc3ccccc3)ccc12,3.33,2.4649222
132,[O-][S+](c1ccccc1)c1ccc2nnnn2n1,0.79,0.9143137
133,O=[N+]([O-])c1ccc2c(c1)N(c1cccc[n+]1[O-])CC(C(F)F)(C(F)F)O2,3.2,2.1683378
134,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.1,0.88304555
135,Cc1ncc(C(N)=O)nc1-c1ccc([C@H]2CC[C@H](C(=O)O)CC2)cc1,0.22,1.5066276
136,Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1,2.0,2.4557526
137,COc1cc(OC2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,4.0,3.2920625
138,COc1ccc(-c2cc(=O)c3ccccc3[nH]2)cc1,2.71,2.5553875
139,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,0.7,2.333999
140,Cn1cc(C#N)cc1-c1c2c(=O)n(C)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,3.67,3.4535847
141,Cn1sc(NC(=O)c2cccc(Cl)c2)nc1=O,0.87,1.6352602
142,Cc1ccc(-c2nccn2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,2.83,2.7770162
143,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,0.82,0.93918395
144,O=c1cc(N2CCOCC2)oc2cc(O)ccc12,1.0,2.4856102
145,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,3.07,2.5078268
146,O=C(COCc1cscn1)N1CCN(c2ccc(Cl)cc2Cl)CC1,3.07,3.253154
147,O=c1c2ccc(O)cc2ncn1-c1ccc(O)cc1,1.6,1.7523926
148,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3ccccc3CNCCc3ccccc3F)c2s1,1.58,0.6856432
149,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2c(=O)n(C(CO)CO)ccc12,2.62,2.7229295
150,COc1ccc(-c2c(F)ccc3c(N)c(C(=O)NC4CC4)nnc23)c(OC)n1,3.37,3.243777
151,Clc1ccccc1-c1cnn[nH]1,2.68,1.9456462
152,NC(=O)c1ccc(Oc2cccc3cccnc23)c([N+](=O)[O-])c1,1.7,2.824862
153,NC(=O)Nc1cc(-c2cccc(O)c2)sc1C(N)=O,2.21,2.9273472
154,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-0.37,-0.06567478
155,COC(=O)c1nc2c(N[C@H](C)CO)nc(SCc3cccc(F)c3F)nc2[nH]c1=O,2.49,2.752976
156,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,3.11,3.616135
157,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,0.74,-0.31549394
158,Cc1nc(Cl)c(Cl)n1Cc1sc2c(c1C(=O)N1CC[C@@H](O)C1)c(=O)n(C)c(=O)n2CC(C)C,1.61,1.2349929
159,N#Cc1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1,1.2,1.9016021
160,Cc1ccc(NC(=N)N)cc1C,-1.34,-0.048999667
161,O=C(NCC1CCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,1.26,1.3082619
162,O=C(Oc1ccccc1)N1CCOCC1,1.3,1.3589646
163,CC(C)(C#N)c1cnc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)s1,1.9,2.0966067
164,FC(F)(F)c1nnc2ccc(N3CCCCC3)nn12,3.0,2.8066292
165,Cc1c(Sc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,0.21,-0.31455302
166,CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,1.55,2.6862307
167,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N1CCOCC1,2.82,2.7557335
168,COc1ccc(Cn2cc3c(=O)n(C)c(=O)n(CC(C)C)c3c2)cc1,3.52,2.8216228
169,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn1cncn1,3.2,2.9346066
170,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,1.09,1.4995463
171,CC(=O)Nc1nc(C)c(-c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2)s1,0.55,1.9545954
172,Cc1ccc2c(c1)c(-c1ccnc3ccc(C(F)(F)F)cc13)c(C)n2CC(=O)O,1.78,1.5656934
173,CSc1ncccc1C(=O)Nc1nccs1,1.43,2.3256426
174,CCOc1ncc(C)c2c1[C@H](c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2,2.51,0.3617668
175,Cc1nc2ccc(Cl)cn2c1-c1ccnc(N)n1,2.49,2.662922
176,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,2.31,1.7798356
177,C[C@@H](NC(=O)C1CCCCN1C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,3.34,2.771068
178,Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(CC(=O)N(C)C)CC2)c1,4.13,3.2838202
179,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C,3.12,1.4782017
180,NC1(c2ccc(-c3ncc4ccncc4c3-c3ccccc3)cc2)CCC1,2.2,2.3615563
181,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NS(C)(=O)=O)c1=O)C(=O)C(F)(F)F,1.77,1.413388
182,C[C@H]1CN(C(=O)c2ccc(C#N)cc2)[C@H](C)CN1C(=O)[C@@](C)(O)C(F)(F)F,1.5,2.0757103
183,CCOc1ccccc1-c1ccc(-c2nc3ccc(F)cc3c(N[C@H](C)C(=O)O)c2C#N)cc1,2.5,2.682176
184,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CC2CCNCC2)ccc1Cl,1.49,2.718602
185,CC[C@H](NC(=O)c1c(S(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,3.17,3.3115962
186,O=C(Nc1ccc(F)cc1)c1cccnc1Oc1ccccc1,3.19,3.1483893
187,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,1.65,2.224862
188,Cc1nc(S(C)(=O)=O)ccc1Nc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C,2.8,2.5388184
189,Cc1ccccc1-c1c(C(=O)O)n(CCCOc2cccc3ccccc23)c2ccccc12,3.89,3.0685267
190,C[C@@H](NCc1ccccc1-c1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1,2.28,1.4795333
191,Nc1nc(Nc2ccc(F)c(Cl)c2)c2nc[nH]c2n1,2.75,2.7878742
192,CCCSc1nc(N[C@@H]2C[C@H]2c2ccccc2)c2nnn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c2n1,3.97,3.119065
193,CSc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,-0.84,1.1725436
194,Cc1ccc(-c2cccc([S@]3(=O)=NC(=O)[C@H](C)N3)c2)cc1,1.6,2.2219524
195,Nc1nc(N)nc(-c2cccc(C(F)(F)F)c2)n1,2.4,2.9008074
196,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,3.39,3.7429454
197,O=C(NS(=O)(=O)c1ccc(F)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,1.79,2.0428286
198,O=C(O)COc1ccc(Cl)cc1CN1CCCN(S(=O)(=O)Cc2ccccc2)CC1,1.01,1.6248243
199,Clc1cccc(-n2nnnc2NCc2ccccc2Oc2ccccn2)c1Cl,3.62,3.3121948
200,CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,2.36,2.8820136
201,O=C(NCCc1ccccc1Cl)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl,1.29,1.4363543
202,O=c1[nH]n(Cc2ccccn2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12,1.1,1.431125
203,C[C@@H](NC(=O)[C@H]1CCCCN1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,2.15,2.0337458
204,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3cccc4ncccc34)sc21,1.98,1.8917077
205,C[C@@H](C#N)NC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCc2[nH]c3ccc(F)cc3c2C1,3.5,3.0687869
206,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NS(N)(=O)=O)c1=O)C(=O)C(F)(F)F,1.17,1.346501
207,O=C(NCC1CCCCCC1)c1cc(-c2cccnc2N2CCC(C(=O)O)CC2)ccc1Cl,2.53,2.7366347
208,N=C(NCc1ccc(Cl)cc1)SCCCc1c[nH]cn1,1.13,1.9139285
209,Cc1ccc(-c2cccc(-c3nn[nH]n3)c2)cc1,1.3,2.2270303
210,Cc1ccc2c(n1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,0.35,1.7939533
211,Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(N(C)C2CCN(C)CC2)n1,1.8,2.5808096
212,CCCCCC[C@H]1OC(=O)CNC(=O)[C@@H]([C@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]1C,3.2,2.3448007
213,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCN(C(=O)c2ccccc2)C1)C1CCCCC1,0.82,1.6448114
214,Cc1cnc(-c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2)[nH]1,3.19,2.3864355
215,O=C(NCCSCc1ccccc1)c1ccccc1,3.3,2.834795
216,O=C(O)[C@@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,2.5,2.9968958
217,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3c[nH]c4ccccc34)sc21,2.35,2.1571426
218,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)cnc2C)n[nH]1,1.73,2.942226
219,c1ccc(-c2ccc(COc3ccc4c(c3)CCC(CCN3CCCCC3)C4)cc2)cc1,3.3,3.423498
220,Nc1ccccc1NC(=O)c1ccc(C2CCN(Cc3ccc(C(=O)NC4CC4)cc3)CC2)cc1,2.31,1.9423596
221,CC(Cc1cccc(CNCCc2c(Cl)cccc2Cl)c1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12,2.41,2.1723523
222,OCC[C@]1(c2ccc(Cl)c(Cl)c2)CCCNC1,0.61,1.1941224
223,COc1ccccc1C(C#N)NC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCN(Cc2ccc(F)cc2)CC1,3.57,2.611528
224,CN(C)c1nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)c(F)c3)CC2)nc2ccccc12,3.13,2.2140577
225,CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,1.56,1.6924095
226,O=c1[nH]n(C(c2ccncc2)C2CC2)c(=O)c2c(O)c3ccc(Cl)cc3nc12,0.7,1.693791
227,Cc1cc(OC2CCN(CC3CCN([C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC3)CC2)ccc1Cl,2.08,2.8680058
228,O=C(CCc1ccccc1)c1ccccc1,3.77,3.6869144
229,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,-0.9,1.4200542
230,O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,2.5,2.9968958
231,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,3.02,2.1240578
232,COc1cc(Nc2nccc(N(C)c3cc(CO)ccc3C)n2)cc(N2CCOCC2)c1,3.9,3.4826698
